Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
10/23/1990,-0.685678621,-0.388189525,-0.503680789,-0.406875966,0.432727981,-0.382533862,0.008759321
10/24/1990,-0.688331528,-0.396043679,-0.498486511,-0.413322627,0.433371568,-0.381933862,0.010114723
10/25/1990,-0.682466806,-0.395475563,-0.498950059,-0.405701079,0.440588382,-0.389344586,0.005685085
10/26/1990,-0.694542037,-0.403479424,-0.498187341,-0.423410785,0.449340627,-0.388744586,0.007044505
10/29/1990,-0.70436312,-0.421341079,-0.511067141,-0.435523652,0.432202063,-0.385467208,0.015323026
10/30/1990,-0.718207346,-0.430970396,-0.521178486,-0.440508093,0.438216317,-0.384867208,0.015523026
10/31/1990,-0.717295977,-0.423974956,-0.528690257,-0.428634697,0.453595618,-0.390974141,0.009959321
11/1/1990,-0.723058776,-0.424405227,-0.528737823,-0.434496931,0.455534376,-0.405289672,0.000867733
11/2/1990,-0.714270559,-0.414687144,-0.528533062,-0.428835672,0.454313141,-0.400599687,0.001067733
11/5/1990,-0.692499893,-0.399277678,-0.516795852,-0.416417751,0.446877805,-0.402724484,-0.006933837
11/6/1990,-0.684866806,-0.390729809,-0.509398086,-0.413439229,0.458048693,-0.398040067,-0.004383659
11/7/1990,-0.692215364,-0.400415519,-0.509450764,-0.420206342,0.463239621,-0.397440067,0.001667733
11/8/1990,-0.702586521,-0.418782186,-0.51761274,-0.439652571,0.47021427,-0.398199687,0.003033913
11/9/1990,-0.694585205,-0.413767302,-0.519575779,-0.431545464,0.466153648,-0.400324484,-0.007311
11/12/1990,-0.677035496,-0.394235414,-0.510433159,-0.413746221,0.458158794,-0.401772966,-0.014203228
11/13/1990,-0.656952973,-0.376305292,-0.495028616,-0.400078534,0.461257046,-0.403225652,-0.021146115
11/14/1990,-0.65384868,-0.382218359,-0.491925891,-0.400279858,0.461609234,-0.401256726,-0.022141573
11/15/1990,-0.647374751,-0.373829804,-0.483368445,-0.393959227,0.448316073,-0.399289672,-0.020746115
11/16/1990,-0.657852973,-0.384635171,-0.48712157,-0.39464746,0.452760415,-0.405543708,-0.028944485
11/19/1990,-0.656165713,-0.384425171,-0.487743406,-0.389525781,0.445335434,-0.396724484,-0.022738461
11/20/1990,-0.657884757,-0.377743647,-0.484348575,-0.390598591,0.450054597,-0.394761157,-0.027340391
11/21/1990,-0.669035857,-0.390643724,-0.489390047,-0.402853969,0.444073139,-0.405120171,-0.031965491
11/23/1990,-0.667901342,-0.388562857,-0.490495898,-0.400809788,0.450771253,-0.408660964,-0.030557032
11/26/1990,-0.675683323,-0.391773466,-0.489023839,-0.411013291,0.468853884,-0.406678794,-0.031565491
11/27/1990,-0.665066846,-0.387445132,-0.491499099,-0.400921025,0.461293382,-0.400569138,-0.030157032
11/28/1990,-0.651745783,-0.382602812,-0.48168826,-0.398789139,0.462293773,-0.391761157,-0.027544485
11/29/1990,-0.65458563,-0.383305825,-0.476018093,-0.406018752,0.463292474,-0.391161157,-0.024937745
11/30/1990,-0.654320624,-0.388329514,-0.47544545,-0.412014257,0.461823719,-0.394656726,-0.031975412
12/3/1990,-0.635045055,-0.37033439,-0.464783635,-0.388755936,0.453565944,-0.394056726,-0.036629791
12/4/1990,-0.636730673,-0.364717082,-0.459920485,-0.392330744,0.440745187,-0.401698531,-0.038865846
12/5/1990,-0.625176673,-0.357998979,-0.45586049,-0.388295187,0.441240627,-0.402478794,-0.043555831
12/6/1990,-0.591794383,-0.347289174,-0.440818818,-0.362318205,0.431620895,-0.397743708,-0.040907849
12/7/1990,-0.60731289,-0.350068743,-0.437910764,-0.379614114,0.424071568,-0.417992275,-0.059215472
12/10/1990,-0.611116513,-0.354348877,-0.439660782,-0.38832955,0.426865672,-0.420205216,-0.065261589
12/11/1990,-0.613037713,-0.351107042,-0.441871878,-0.381261203,0.432057615,-0.42383952,-0.070086725
12/12/1990,-0.617402209,-0.358753829,-0.448620016,-0.384427055,0.425325001,-0.428913294,-0.073672218
12/13/1990,-0.610937199,-0.347683148,-0.443390465,-0.371809026,0.42797842,-0.416997756,-0.064661589
12/14/1990,-0.614208102,-0.35030936,-0.440860782,-0.379591631,0.428080484,-0.419214659,-0.055727909
12/17/1990,-0.628124869,-0.358190418,-0.447058727,-0.388580938,0.43764723,-0.422854948,-0.059261578
12/18/1990,-0.622955892,-0.360841305,-0.455380312,-0.384669571,0.435089143,-0.427936782,-0.06280924
12/19/1990,-0.612406857,-0.348786113,-0.449350262,-0.371686757,0.436914543,-0.446028915,-0.061358458
12/20/1990,-0.617303356,-0.348501432,-0.444890465,-0.381933276,0.456713741,-0.443978588,-0.054927909
12/21/1990,-0.608968624,-0.34894379,-0.444042361,-0.361318917,0.453287518,-0.43615834,-0.047302132
